date,S&P500,FTSE100,DAX40
37088.00,1210.85,5387.10,5764.06
37095.00,1205.93,5403.10,5754.85
37102.00,1214.36,5547.60,5735.87
37109.00,1190.17,5427.20,5433.49
37116.00,1161.97,5342.10,5222.12
37123.00,1184.92,5471.90,5387.50
37130.00,1133.58,5345.00,5188.17
37137.00,1085.78,5070.30,4730.67
37144.00,1092.54,4755.70,4115.98
37151.00,965.80,4357.40,3787.23
37158.00,1040.90,4903.40,4308.15
37165.00,1071.38,5036.00,4487.69
37172.00,1091.61,5145.50,4625.13
37179.00,1073.48,5017.70,4513.53
37186.00,1104.61,5188.60,4820.26
37193.00,1087.20,5129.50,4583.31
37200.00,1120.31,5244.20,4910.07
37207.00,1138.58,5291.00,5062.64
37214.00,1150.34,5293.20,5150.97
37221.00,1139.45,5203.60,4989.91
37228.00,1158.27,5264.70,5199.03
37235.00,1123.07,5061.00,4909.42
37242.00,1144.90,5159.70,5019.01
37249.00,1161.01,5242.40,5160.10
37256.00,1172.51,5323.80,5318.73
37263.00,1145.60,5198.60,5209.97
37270.00,1127.58,5126.80,5122.23
37277.00,1133.29,5193.00,5156.63
37284.00,1122.19,5189.70,5097.06
37291.00,1096.22,5128.10,4835.95
37298.00,1104.18,5182.50,4862.60
37305.00,1089.84,5050.80,4745.58
37312.00,1131.78,5169.00,5097.41
37319.00,1164.31,5285.70,5359.55
37326.00,1166.16,5292.70,5401.11
37333.00,1148.70,5250.50,5366.13
37340.00,1147.39,5271.80,5397.29
37347.00,1122.73,5233.60,5260.53
37354.00,1111.01,5161.00,5189.65
37361.00,1125.16,5243.60,5284.55
37368.00,1076.32,5159.00,5000.38
37375.00,1073.43,5203.10,4882.77
37382.00,1054.99,5171.20,4871.70
37389.00,1106.59,5218.00,5036.41
37396.00,1083.82,5169.10,4899.13
37403.00,1067.18,5085.10,4818.30
37410.00,1027.53,4920.40,4610.18
37417.00,1007.26,4630.80,4303.85
37424.00,989.13,4605.30,4232.40
37431.00,989.44,4656.40,4382.56
37438.00,989.03,4615.60,4483.03
37445.00,921.40,4224.10,4130.80
37452.00,847.75,4098.30,3891.88
37459.00,852.84,4016.60,3579.00
37466.00,864.24,4075.50,3532.49
37473.00,908.60,4322.40,3760.86
37480.00,928.77,4330.00,3684.69
37487.00,940.86,4389.80,3828.26
37494.00,916.08,4227.30,3712.94
37501.00,893.92,4107.20,3485.68
37508.00,889.80,4008.00,3361.28
37515.00,845.39,3860.10,3065.73
37522.00,827.36,3907.20,2918.90
37529.00,800.59,3813.80,2714.62
37536.00,835.32,3953.40,2930.74
37543.00,884.38,4130.50,3163.67
37550.00,897.65,4051.10,3102.01
37557.00,900.96,3997.00,3165.16
37564.00,894.73,4034.60,3079.10
37571.00,909.74,4091.60,3191.76
37578.00,930.55,4175.20,3320.88
37585.00,936.31,4169.40,3320.32
37592.00,912.23,4013.50,3207.53
37599.00,889.50,3878.10,3077.06
37606.00,895.85,3889.90,3024.22
37613.00,875.42,3829.40,2871.05
37620.00,908.60,4004.90,3092.94
37627.00,927.57,3974.10,3037.33
37634.00,901.78,3820.60,2918.82
37641.00,861.40,3603.70,2717.82
37648.00,855.70,3567.40,2747.83
37655.00,829.69,3599.20,2569.34
37662.00,834.89,3611.90,2674.46
37669.00,848.17,3727.10,2648.87
37676.00,841.15,3655.60,2547.05
37683.00,828.89,3491.60,2431.66
37690.00,833.26,3601.80,2403.19
37697.00,895.89,3861.10,2715.06
37704.00,863.48,3708.50,2520.84
37711.00,878.85,3814.40,2654.07
37718.00,868.30,3808.10,2733.95
37725.00,893.58,3889.20,2899.78
37732.00,898.81,3870.20,2838.23
37739.00,930.08,3952.60,2986.00
37746.00,933.41,3969.40,2956.59
37753.00,944.30,4049.00,2989.08
37760.00,933.22,3979.80,2822.83
37767.00,963.59,4048.10,2982.68
37774.00,987.76,4150.80,3127.46
37781.00,988.61,4134.10,3168.71
37788.00,995.73,4160.10,3238.98
37795.00,976.22,4067.80,3224.66
37802.00,985.70,4021.50,3239.61
37809.00,998.13,4058.10,3326.51
37816.00,993.32,4073.20,3366.71
37823.00,998.68,4131.20,3356.89
37830.00,980.15,4098.40,3438.89
37837.00,977.59,4147.80,3332.24
37844.00,990.67,4247.30,3443.93
37851.00,993.05,4225.90,3549.05
37858.00,1008.03,4161.10,3484.58
37865.00,1021.37,4257.20,3607.71
37872.00,1018.63,4237.80,3508.06
37879.00,1036.31,4257.00,3578.70
37886.00,996.85,4157.10,3324.85
